Artist,title,Acousticness,Tempo,Danceability,Energy,Instrumentalness,Speechiness
Markus Schulz,Never Let You Go,0.087839,124.917,0.826781,0.75781,0.675799,0.098907
Markus Schulz,Gotham Serenade,0.029821,134.763,0.529504,0.8256,0.163515,0.199101
Markus Schulz,Not The Same,0.000322,131.985,0.619298,0.799427,0.558402,0.041746
Röyksopp,Röyksopp Late Night Tales Continuous Mix,0.646661,83.801,0.292518,0.447396,0.064926,0.075481
Röyksopp,Running to the Sea feat Susanne Sundf√∏r,0.00014,123.005,0.58581,0.52079,0.93662,0.037607
Röyksopp,I Had This Thing,0.165793,99.384,0.726752,0.283988,0,0.843923
Röyksopp,Beautiful day without you,0.001922,121.983,0.769905,0.646481,0.905109,0.072919
Röyksopp,Running To The Sea,0.444385,109.228,0.685713,0.240679,0.000001,0.943443
Röyksopp,Bounty Hunters,0.000174,120.018,0.58699,0.925099,0.756192,0.035912
Röyksopp,Tristesse Globale,0.931467,76.655,0.429036,0.150977,0.928191,0.033895
Röyksopp,Here She Comes Again,0.256897,137.223,0.667772,0.135411,0.00003,0.539947Emperor,Wrath Of The Tyrant,0.000004,157.427,0.154183,0.979739,0.314095,0.093255
Emperor,Introduction,0.518512,93.115,0.224759,0.513343,0.902789,0.039866
Emperor,Dancehall Love Affair,0.207364,98.973,0.845263,0.637075,0.600506,0.090291
Emperor,Depraved,0.000003,119.793,0.171686,0.969849,0.819454,0.103351
Emperor,The Burning Shadows of Silence Medley,0.000007,175.453,0.075097,0.962988,0.952641,0.105072
Emperor,That's My Mind,0.035955,141.863,0.811017,0.785473,0.950478,0.054342
Emperor,Cosmic Keys To My Creations & Times,0.000012,152.394,0.112312,0.995267,0.680972,0.10017
Emperor,Overdose,0.010361,127.996,0.882718,0.693862,0.86017,0.099988
Emperor,instramental,0.004199,188.152,0.646179,0.707425,0.886724,0.223355
Emperor,Sworn,0.000002,170.896,0.076918,0.947615,0.889823,0.115397
Emperor,Neptune,0.005743,140.031,0.696501,0.452434,0.873324,0.042136
Emperor,Chasing The Moon,0.463014,119.953,0.821438,0.55902,0.229264,0.102215
Emperor,Inno a Satana,0.000013,121.262,0.170269,0.954112,0.381107,0.107079
Emperor,Funeral Fog,0.000002,180.02,0.069867,0.91354,0.910744,0.080201
Emperor,No Panic,0.000606,126.007,0.783373,0.782361,0.87088,0.049043Kings of Convenience,Deilig Er Jorden,0.563862,101.243,0.314054,0.099799,0.00003,0.034708
Kings of Convenience,Know-How,0.601205,160.133,0.622852,0.574236,0.303554,0.033392
Kings of Convenience,The Passenger,0.886942,86.999,0.840299,0.147467,0.878582,0.055463
Kings of Convenience,Know How,0.810728,159.935,0.688444,0.522598,0.164136,0.041885
Kings of Convenience,Envoy,0.943169,79.737,0.219241,0.230798,0.808735,0.036712
Kings of Convenience,I'd Rather Dance With You,0.082322,141.964,0.802348,0.826399,0.023498,0.035834
Kings of Convenience,Gold In The Air Of Summer,0.506828,145.426,0.515816,0.403932,0.000997,0.033447
Kings of Convenience,Cayman Islands,0.846713,86.229,0.578419,0.094752,0.19467,0.034777
Kings of Convenience,Gold For The Price Of Silver,0.074071,171.967,0.660979,0.487045,0.868097,0.045521
Kings of Convenience,Summer On The West Hill,0.964858,130.096,0.557844,0.163722,0.805719,0.034455
Kings of Convenience,Cayman Islands,0.814117,174.582,0.413308,0.343391,0.335933,0.035485
Kings of Convenience,Leaning Against The Wall,0.522565,143.897,0.782627,0.445145,0.749658,0.069525
Kings of Convenience,Surprise Ice,0.799224,115.204,0.648818,0.26786,0.042227,0.033297
Kings of Convenience,Sorry Or Please,0.082298,146.008,0.710704,0.517333,0.023117,0.029326
Kings of Convenience,Leaning Against The Wall,0.146897,140.014,0.704003,0.782467,0.243117,0.028089
Amorphis,God Of Deception,0.000168,139.116,0.430602,0.911189,0.012011,0.039952
Amorphis,Exile Of The Sons Of Uisliu,0.000008,135.021,0.388022,0.921832,0.842961,0.051872
Amorphis,A Servant,0.000004,75.202,0.067352,0.905934,0.865355,0.070805
Amorphis,Ethereal Solitude,0.000536,124.047,0.585363,0.493498,0.059982,0.027614
Amorphis,Privilege of Evil,0.068343,82.639,0.143645,0.974188,0.929615,0.148792
Amorphis,Black Embrace,0.000259,79.048,0.138495,0.97089,0.751201,0.15459
Amorphis,Withered,0.000006,133.023,0.215752,0.840726,0.78596,0.041522
Amorphis,On A Stranded Shore,0.00004,128.047,0.450489,0.846186,0.000923,0.037705
Amorphis,The Sign from the North Side,0.000106,185.684,0.161022,0.906417,0.844586,0.099208
Amorphis,Better Unborn,0.000238,104.789,0.270236,0.92803,0.167757,0.036147
Amorphis,Winter's Sleep - Bonus Track,0.000045,177.135,0.132402,0.893092,0.002749,0.041631
Amorphis,Morning Star,0.0001,95.641,0.33484,0.966218,0.22682,0.06494
Amorphis,Dead Man's Dream,0.000006,106.038,0.394348,0.906609,0.796812,0.053851
Amorphis,Beginning Of Time,0.000039,130.004,0.383417,0.747551,0.891501,0.038717
Amorphis,Black Winter's Day (Live),0.000005,80.278,0.074406,0.589371,0.549649,0.062447
Stratovarius,Father Time,0.000021,81.998,0.175767,0.944777,0.796927,0.117817
Stratovarius,Future Shock,0.000135,144.267,0.280319,0.977444,0.009233,0.257509
Stratovarius,Madness Strikes At Midnight,0.00825,95.428,0.51563,0.844237,0.000159,0.040682
Stratovarius,The Game Never Ends,0.000022,102.504,0.556478,0.891791,0.002371,0.042467
Stratovarius,Feeding the Fire,0.000029,198,0.335162,0.97319,0.001252,0.090103
Stratovarius,030366,0.011038,124.848,0.733482,0.509003,0.252127,0.086815
Stratovarius,Coming Home,0.001643,143.683,0.195429,0.822167,0.143508,0.042753
Stratovarius,Darkest Hours,0.000083,90.979,0.305524,0.957112,0.577745,0.07947
Stratovarius,Intro,0.004597,78.716,0.074398,0.551903,0.018967,0.039486
Stratovarius,KILL IT WITH FIRE,0.000185,120.022,0.526385,0.977461,0.031965,0.062803
Stratovarius,Move the Mountain,0.00818,148.031,0.440522,0.554996,0.00016,0.027151
Stratovarius,Lifetime In A Moment,0.001391,83.995,0.478393,0.620543,0.00325,0.027743
Stratovarius,Black Diamond,0.000093,160.114,0.26144,0.958198,0.478127,0.115263
Stratovarius,Deep Unknown,0.000019,104.671,0.315074,0.975163,0.901213,0.090236
Stratovarius,A Million Light Years Away,0.000018,134.985,0.430028,0.932351,0.073716,0.037328
Children of Bodom,All for Nothing,0.000313,75.023,0.376286,0.799243,0.000105,0.039302
Children of Bodom,Transference,0.811976,89.005,0.633735,0.064015,0,0.819376
Children of Bodom,Pussyfoot Miss Suicide,0.00001,104.995,0.462451,0.980588,0.696685,0.083205
Children of Bodom,Waste of Skin,0.000033,95.936,0.410359,0.938548,0.197632,0.089681
Children of Bodom,Silent Night Bodom Night,0.000008,126.003,0.21222,0.98167,0.800133,0.076103
Children of Bodom,Towards Dead End,0.000193,107.995,0.192471,0.952786,0.900811,0.059254
Children of Bodom,Everytime I Die,0.000033,97.323,0.220851,0.827343,0.592104,0.050785
Children of Bodom,Tie My Rope,0.000015,132.001,0.462097,0.945281,0.590697,0.139097
Children of Bodom,Wrath Within,0.000091,87.55,0.4318,0.96182,0.622466,0.064965
Children of Bodom,Downfall,0.000003,96.723,0.264958,0.922944,0.521038,0.037129
Children of Bodom,Clash of the Booze Brothers,0.41011,73.057,0.104394,0.749525,0.638724,0.070689
Children of Bodom,Hellhounds on My Trail,0.000023,103.008,0.44388,0.806498,0.735582,0.059077
Children of Bodom,Deadbeats I,0.000054,81.462,0.294424,0.960658,0.782226,0.254336
Children of Bodom,War Inside My Head,0.000052,196.04,0.363562,0.984981,0.13091,0.189457
Children of Bodom,Nothern Comfort,0.000281,92.027,0.388156,0.995097,0.184828,0.105133
Johann Sebastian Bach,Lobe den Herrn meine Seele,0.974593,166.84,0.269044,0.092149,0.000002,0.045963
Johann Sebastian Bach,Flute Sonata in C Major,0.068223,170.651,0.229414,0.156328,0.829941,0.042251
Johann Sebastian Bach,Christmas Oratorio,0.986443,100.159,0.505329,0.27738,0.037536,0.034628
Johann Sebastian Bach,Prelude in E minor,0.994708,130.058,0.439762,0.205236,0.888594,0.051433
Johann Sebastian Bach,Markus-Passion,0.904192,103.35,0.537935,0.225803,0,0.123499
Johann Sebastian Bach,Suite for lute in G Minor,0.991918,159.377,0.389314,0.124748,0.924788,0.045457
Johann Sebastian Bach,Nun komm der heiden Heiland,0.994634,72.076,0.432097,0.117464,0.920667,0.049191
